AMSS	 RU1015 	8024	JCI Industries, Inc	1070285	P - JCI 1070285/44708374	10660	POC	USD	252444.00	252443.98	8/17/2017	6/21/2018
AMSS	 RU1015 	8741	CANADIAN NATURAL RESOURCES LIMITED	1070826	P - CNRL 1070826/07829417	10748	POC	CAD	437213.00	343858.89	8/30/2017	9/12/2018
AMSS	 RU1015 	10143	Kincaid Generation	1072613	P - Kincaid Generation 1072613/660330000002710	13740	POC	USD	263863.00	263863.00	9/29/2017	4/12/2018
AMSS	 RU1015 	10144	Chevron US Products Company	1072381	P - Chevron Products 1072381/0010449343	13683	POC	USD	391985.00	391985.00	9/21/2017	2/15/2018
AMSS	 RU1015 	10151	Tennessee Valley Authority (TVA)	1072383	P - Tennessee Valley Auth 1072383 / 3232067	13480	POC	USD	494840.00	494840.25	9/26/2017	4/12/2018
AMSS	 RU1015 	10154	Philadelphia Energy Solutions Refining & Marketing LLC	1070841	P - Philadelphia Energy 1070841/03182837	10454	POC	USD	602665.00	602665.00	9/29/2017	7/19/2018
AMSS	 RU1015 	10591	JCI	1072493	P - JCI 1072493 / 07111824	10946	POC	USD	515467.00	515467.00	9/25/2017	3/29/2018
AMSS	 RU1015 	13474	Valero McKee Refinery	076C8211	P - Valero McKee Refinery - 076C8211/4504074104 Duplicate Bare Pump	14337	POC	USD	393112.00	393112.00	10/24/2017	6/11/2018
AMSS	 RU1015 	13674	Chevron Products Company	07771256	P - Chevron Products - 07771256/0000581458 Spare Bundle for Pump	14322	POC	USD	492670.00	492670.00	10/31/2017	6/22/2018
AMSS	 RU1015 	13676	Chevron Products Company	07771191	P - Chevron Products - 07771191/0010454844 P-737C Pump	14329	POC	USD	311780.00	311780.00	10/31/2017	7/31/2018
AMSS	 RU1015 	15377	Marathon Petroleum	1076007	P - Marathon Petroleum 028B3721/4101251223  Pump Upgrade	15752	POC	USD	330559.00	330559.00	11/16/2017	8/21/2018
AMSS	 RU1015 	16121	Pacificorp	1076971/07771484	P - Pacificorp 07771484	17302	POC	USD	320909.00	332159.00	12/11/2017	10/12/2018
AMSS	 RU1015 	16705	Phillips 66	077-71205	P - Phillips 66 - 07771205/4524417243	16807	POC	USD	479610.00	470412.31	10/18/2017	4/18/2018
AMSS	 RU1015 	16710	National Grid	1074561	P - National Grid -03183353/3200338757  Spare Element Assembly	16819	POC	USD	299000.00	299000.00	10/31/2017	4/20/2018
AMSS	 RU1015 	16714	Diamond Green Diesel LLC	028B0945	P - Diamond Green Diesel 028B0945/4503916348  Duplicate Bare Pump	16813	POC	USD	304290.00	304290.00	5/31/2017	1/25/2018
AMSS	 RU1015 	17037	Colonial Pipeline Company	1077406 and 1077396	P - Colonial Pipeline 1077406 292244	17253	POC	USD	936770.00	936770.00	12/20/2017	11/28/2018
AMSS	 RU1015 	17182	Exxon Mobil	1077407	P Exxon Mobil 1077407 4540117458	17187	POC	USD	295115.00	295115.07	12/13/2017	4/24/2018
AMSS	 RU1015 	17308	SUNCOR ENERGY OIL SANDS LIMITED PARTNERSHIP	1070281	P - Suncor 1070281/4502451638  DSJH Bare Pump	15000	POC	CAD	543969.00	457067.57	8/23/2017	4/19/2018
AMSS	 RU1015 	17532	Ameren	1077759	P Ameren 1077759 816028	17538	POC	USD	344750.00	344750.00	12/27/2017	7/25/2018
AMSS	 RU1015 	18351	Siewert Equipment	1077755	P Siewert Equipment 1077755 442161-00	18362	POC	USD	280000.00	280000.00	12/19/2017	9/25/2018
AMSS	 RU1015 	18882	Invista	1077819	P Invista 1077819 5500664609	18983	POC	USD	351859.00	351859.10	12/29/2017	7/5/2018
